序号,采集时刻(s),类型,通道,均值,波动峰峰值,波动占比绝对值%
1,1723448249.836,桥式,通道1,0.8449618,0.0000754,0.0089275
2,1723448251.638,桥式,通道2,0.8437059,0.0000377,0.0044704
3,1723448253.438,桥式,通道3,0.8518339,0.0000377,0.0044278
4,1723448255.237,桥式,通道4,0.7886049,0.0001132,0.0143483
5,1723448257.037,桥式,通道5,0.8437209,0.0001132,0.0134110
6,1723448258.837,桥式,通道6,0.8452259,0.0000377,0.0044624
7,1723448260.637,桥式,通道7,0.8435550,0.0000377,0.0044712
8,1723448262.437,桥式,通道8,0.8437398,0.0000754,0.0089405
9,1723448264.237,桥式,通道9,0.8436606,0.0000754,0.0089413
10,1723448266.037,桥式,通道10,0.7890160,0.0001132,0.0143408
11,1723448267.839,桥式,通道11,0.8426686,0.0000754,0.0089518
12,1723448269.638,桥式,通道12,0.7877261,0.0000754,0.0095762
13,1723448271.438,桥式,通道13,0.7879675,0.0001132,0.0143599
14,1723448273.238,桥式,通道14,0.7878694,0.0000754,0.0095745
15,1723448278.640,单电阻,通道1,487.5634389,3.0202756,0.6156372
16,1723448280.441,单电阻,通道2,6868.1770691,24.6655844,0.3589744
17,1723448282.241,单电阻,通道3,6903.8080112,21.6453087,0.3133814
18,1723448284.041,单电阻,通道4,6885.8556816,23.1554465,0.3361320
19,1723448285.840,单电阻,通道5,6870.7349792,24.1622051,0.3515119
20,1723448287.640,单电阻,通道6,6856.0573183,22.6520673,0.3302413
21,1723448289.440,单电阻,通道7,6900.7557080,23.6588258,0.3426980
22,1723448291.240,单电阻,通道8,511.4436165,2.0135171,0.3913894
23,1723448293.040,单电阻,通道9,6881.6789853,23.6588258,0.3436376
24,1723448294.841,单电阻,通道10,7270.4384595,25.1689636,0.3460351
25,1723448296.640,单电阻,通道11,7213.5893051,24.6655844,0.3417683
26,1723448298.440,单电阻,通道12,14077.7166989,46.3108931,0.3288944
27,1723448300.241,单电阻,通道13,14452.1705397,49.3311687,0.3412684
28,1723448302.040,单电阻,通道14,7207.8097676,20.6385502,0.2862029
29,1723448303.841,单电阻,通道15,1141.2624380,4.0270342,0.3518958
30,1723448309.836,桥式,通道1,0.8417974,0.0000377,0.0044805
31,1723448311.637,桥式,通道2,0.8417068,0.0001509,0.0179241
32,1723448313.436,桥式,通道3,0.8497519,0.0001132,0.0133158
33,1723448315.237,桥式,通道4,0.7893781,0.0000754,0.0095562
34,1723448317.037,桥式,通道5,0.8411147,0.0000754,0.0089684
